Country Name,Country Code,Series,Series Code,2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Andorra,AND,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,..,..,..,..,..,..
Andorra,AND,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,..,..,..,..,..,..
Andorra,AND,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..
Angola,AGO,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,..,..,..,105.88815,..,..,..,..,..
Angola,AGO,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,..,..,..,0.87413,..,..,..,..,..
Angola,AGO,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.35117,..,103.29183,103.16389,..,102.82641,104.59891,..,..
Antigua and Barbuda,ATG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.95211,..,0.94992,0.96619,..,0.98406,0.99208,..,..
Antigua and Barbuda,ATG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,431,..,534,117,..,235,66,..,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,93.87269,92.85067,92.77944,92.52657,92.39304,92.61421,92.84049,93.07939,..
Arab World,ARB,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.92944,0.93089,0.93668,0.94095,0.94133,0.94452,0.94617,0.94882,..
Arab World,ARB,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,6635164,7112736,7478493,7509429,7567118,7438706,7486016,7677399,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.34583,5.43661,5.36144,5.77611,5.54549,5.46223,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,113.53876,111.52934,111.34255,111.2357,110.60607,109.62778,..,..,..
Argentina,ARG,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,0.98823,0.99157,0.99794,0.99881,0.99764,0.99797,..,..,..
Argentina,ARG,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,24382,17457,4205,2420,19510,18743,..,..,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.77248,2.65018,2.24724,2.80591,2.75812,2.70759,..,..,..
Armenia,ARM,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,99.61921,99.10623,97.53677,95.77111,94.96555,94.2442,92.6959,92.10543,..
Armenia,ARM,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.0133,1.01253,1.01302,1.01521,1.0089,1.00321,0.99961,1.00534,..
Armenia,ARM,"Out-of-school children of primary school age, both sexes (number)",SE.PRM.UNER,5023,4874,8641,10601,11786,12428,11426,14928,..
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.54906,6.50538,5.90521,5.97571,5.52415,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, female (%)",SE.PRM.ENRR.FE,105.40282,114.72793,115.20468,..,..,..,..,..,..
Aruba,ABW,"Gross enrolment ratio, primary, gender parity index (GPI)",SE.ENR.PRIM.FM.ZS,1.02508,0.9781,0.96864,..,..,..,..,..,..
